time	V(vo)
0.000000000000000e+000	9.000092e-001
9.999999960041972e-012	8.997656e-001
1.999999992008394e-011	8.995689e-001
3.999999984016789e-011	8.993559e-001
7.999999968033578e-011	8.993834e-001
1.599999993606716e-010	9.000374e-001
2.716720785820240e-010	9.010056e-001
3.984676872439330e-010	9.017286e-001
4.817613385248003e-010	9.019620e-001
5.788338388037600e-010	9.020863e-001
6.536723542392668e-010	9.021258e-001
7.361835397298589e-010	9.020084e-001
7.919961915833282e-010	9.016244e-001
8.493639601045414e-010	9.006895e-001
9.091026195794293e-010	8.992103e-001
9.447555074111118e-010	8.982607e-001
1.000000000000000e-009	8.969032e-001
1.005524449258889e-009	8.971993e-001
1.016573347776667e-009	8.978468e-001
1.038671144812222e-009	8.989291e-001
1.073538211063925e-009	8.996761e-001
1.121522015443239e-009	8.993433e-001
1.169354275611796e-009	8.984596e-001
1.218090517978152e-009	8.979412e-001
1.274103241115253e-009	8.982552e-001
1.338276458901006e-009	8.993617e-001
1.403046426739763e-009	9.006476e-001
1.482561676524930e-009	9.019346e-001
1.562334314280124e-009	9.027048e-001
1.644048002595210e-009	9.029220e-001
1.736043351161895e-009	9.027259e-001
1.819474274387101e-009	9.023848e-001
1.920723178700600e-009	9.019249e-001
2.033472511195112e-009	9.013593e-001
2.186088134745563e-009	9.004073e-001
2.373210893617607e-009	8.989284e-001
2.649973020742241e-009	8.964592e-001
3.063678001961649e-009	8.929835e-001
3.374001816794288e-009	8.908618e-001
3.695702005475481e-009	8.879954e-001
4.068276410892580e-009	8.836420e-001
4.517315011180504e-009	8.804629e-001
4.968176883694791e-009	8.794399e-001
5.451161579131848e-009	8.784418e-001
6.302461417139487e-009	8.769247e-001
7.666775902170841e-009	8.753521e-001
8.984135009799057e-009	8.744162e-001
1.041368257338569e-008	8.739246e-001
1.198514973328978e-008	8.735918e-001
1.421268907259432e-008	8.731841e-001
1.719282227535742e-008	8.724918e-001
2.080231545469882e-008	8.715110e-001
2.581976714341062e-008	8.700108e-001
3.480697804665368e-008	8.672381e-001
5.278139985313979e-008	8.616287e-001
7.739230135085264e-008	8.539414e-001
2.576648589813049e-007	7.977040e-001
3.893803602963695e-007	7.566931e-001
6.045444735916380e-007	6.899916e-001
1.014415011981567e-006	5.657175e-001
1.574213873133679e-006	4.127030e-001
2.137684889562488e-006	2.961583e-001
2.728311417696299e-006	2.189582e-001
3.328444228196478e-006	1.729521e-001
4.032434718398524e-006	1.395979e-001
4.286141329283406e-006	1.325244e-001
4.570376782028914e-006	1.292145e-001
4.666998897919437e-006	1.290938e-001
4.783862534228569e-006	1.294271e-001
4.860530219636006e-006	1.295206e-001
4.953477377229302e-006	1.295125e-001
5.048868967277741e-006	1.294822e-001
5.185553080213804e-006	1.294604e-001
5.365182825841159e-006	1.294597e-001
4.856449257893612e-004	1.294633e-001
4.921885000000000e-004	1.294631e-001
4.921895000000000e-004	1.294639e-001
4.921915000000001e-004	1.294648e-001
4.921955000000001e-004	1.294635e-001
4.922035000000003e-004	1.294632e-001
4.922195000000005e-004	1.294628e-001
4.923155000000020e-004	1.294622e-001
4.942355000000323e-004	1.294617e-001
4.962835000000645e-004	1.294609e-001
4.962865000000645e-004	1.294619e-001
4.962905000000646e-004	1.294617e-001
4.962985000000647e-004	1.294618e-001
4.965887857143550e-004	1.294616e-001
4.968790714286453e-004	1.294616e-001
4.971693571429356e-004	1.294616e-001
4.974596428572259e-004	1.294616e-001
4.977499285715161e-004	1.294617e-001
4.980402142858065e-004	1.294619e-001
4.983305000000967e-004	1.294621e-001
4.983335000000968e-004	1.294615e-001
4.983375000000968e-004	1.294616e-001
4.983455000000970e-004	1.294616e-001
4.984895000000992e-004	1.294615e-001
4.986335000001015e-004	1.294616e-001
4.987775000001038e-004	1.294616e-001
4.989215000001060e-004	1.294617e-001
4.990655000001083e-004	1.294618e-001
4.992095000001106e-004	1.294619e-001
4.993535000001128e-004	1.294620e-001
4.993565000001129e-004	1.294615e-001
4.993605000001129e-004	1.294616e-001
4.996085000001169e-004	1.294616e-001
4.997449999999960e-004	1.294612e-001
4.997479999999960e-004	1.294617e-001
4.997519999999961e-004	1.294615e-001
4.998079999999970e-004	1.294616e-001
4.998719999999980e-004	1.294619e-001
4.998749999999980e-004	1.294615e-001
4.998789999999981e-004	1.294616e-001
4.999369999999990e-004	1.294617e-001
4.999409999999991e-004	1.294616e-001
4.999472857142849e-004	1.294616e-001
4.999535714285707e-004	1.294617e-001
4.999598571428565e-004	1.294617e-001
4.999661428571424e-004	1.294617e-001
4.999724285714281e-004	1.294616e-001
4.999787142857140e-004	1.294615e-001
4.999849999999998e-004	1.294614e-001
4.999879999999998e-004	1.294616e-001
4.999929999999999e-004	1.294617e-001
4.999970000000000e-004	1.294615e-001
5.000000000000000e-004	1.294616e-001
5.000010000000000e-004	1.294558e-001
5.000010057895507e-004	1.295180e-001
5.000010173686520e-004	1.296098e-001
5.000010405268546e-004	1.296797e-001
5.000010696093712e-004	1.296491e-001
5.000011130021145e-004	1.295286e-001
5.000011714927338e-004	1.293713e-001
5.000012347598338e-004	1.292601e-001
5.000012885049807e-004	1.292225e-001
5.000013490764959e-004	1.291953e-001
5.000014392063163e-004	1.291388e-001
5.000015417232922e-004	1.290772e-001
5.000016465876685e-004	1.290268e-001
5.000017451100039e-004	1.290061e-001
5.000018570511252e-004	1.290220e-001
5.000018774825730e-004	1.290284e-001
5.000019183454685e-004	1.290420e-001
5.000020000000000e-004	1.290731e-001
5.000020046430880e-004	1.290533e-001
5.000020139292639e-004	1.290296e-001
5.000020325016158e-004	1.290272e-001
5.000020696463196e-004	1.290674e-001
5.000021439357271e-004	1.291395e-001
5.000022081640362e-004	1.291755e-001
5.000022802202333e-004	1.291970e-001
5.000023625752166e-004	1.292116e-001
5.000024438413907e-004	1.292193e-001
5.000025319529071e-004	1.292225e-001
5.000026191236929e-004	1.292214e-001
5.000027043067456e-004	1.292176e-001
5.000028155376041e-004	1.292095e-001
5.000029342902382e-004	1.291983e-001
5.000030900433463e-004	1.291821e-001
5.000032742546032e-004	1.291619e-001
5.000035579241658e-004	1.291316e-001
5.000039238441997e-004	1.290976e-001
5.000043705304834e-004	1.290682e-001
5.000049638915993e-004	1.290538e-001
5.000058689583687e-004	1.290884e-001
5.000075145233363e-004	1.293067e-001
5.000101915550223e-004	1.300082e-001
5.000131392066172e-004	1.311948e-001
5.000158372619943e-004	1.324823e-001
5.000183250279293e-004	1.335554e-001
5.000207755763536e-004	1.343568e-001
5.000229082790640e-004	1.348706e-001
5.000254178580052e-004	1.353482e-001
5.000280601708993e-004	1.357866e-001
5.000318363482829e-004	1.363695e-001
5.000365523130216e-004	1.370813e-001
5.000443364703955e-004	1.382595e-001
5.000580830659274e-004	1.403732e-001
5.000855762569909e-004	1.446991e-001
5.001329936503870e-004	1.522790e-001
5.002278284371793e-004	1.668000e-001
5.003154429574434e-004	1.772777e-001
5.004083208890077e-004	1.835113e-001
5.004548341598170e-004	1.845543e-001
5.004969079052896e-004	1.846291e-001
5.005457298227514e-004	1.845958e-001
5.006057074268534e-004	1.845409e-001
5.006726284893979e-004	1.845037e-001
5.007523662394093e-004	1.844891e-001
5.010172567863501e-004	1.844861e-001
9.921884999999999e-004	1.844862e-001
9.999990000000001e-004	1.844862e-001
1.000000000000000e-003	1.844867e-001
1.000000004619757e-003	1.844667e-001
1.000000013859271e-003	1.844380e-001
1.000000032338299e-003	1.844199e-001
1.000000069296356e-003	1.844364e-001
1.000000138955736e-003	1.844831e-001
1.000000251040456e-003	1.845393e-001
1.000000402324655e-003	1.846030e-001
1.000000492123351e-003	1.846382e-001
1.000000580695985e-003	1.846711e-001
1.000000653092146e-003	1.846960e-001
1.000000732829074e-003	1.847073e-001
1.000000790280695e-003	1.846804e-001
1.000000845956906e-003	1.846327e-001
1.000000906212651e-003	1.845960e-001
1.000000931923098e-003	1.845677e-001
1.000000948579106e-003	1.845348e-001
1.000000966687984e-003	1.844989e-001
1.000001000000000e-003	1.844393e-001
1.000001003331202e-003	1.845173e-001
1.000001009993605e-003	1.846696e-001
1.000001023318411e-003	1.848739e-001
1.000001049968024e-003	1.849863e-001
1.000001083736790e-003	1.848532e-001
1.000001122820266e-003	1.845702e-001
1.000001171831243e-003	1.842427e-001
1.000001223434465e-003	1.840346e-001
1.000001270040752e-003	1.839875e-001
1.000001320943558e-003	1.839926e-001
1.000001393269912e-003	1.839902e-001
1.000001469220074e-003	1.840010e-001
1.000001551057242e-003	1.840236e-001
1.000001631118623e-003	1.840389e-001
1.000001712332990e-003	1.840602e-001
1.000001800473557e-003	1.841132e-001
1.000001899968842e-003	1.841955e-001
1.000002000000000e-003	1.842798e-001
1.000002004523552e-003	1.842662e-001
1.000002013570655e-003	1.842490e-001
1.000002031664861e-003	1.842523e-001
1.000002067853273e-003	1.843086e-001
1.000002140230098e-003	1.844251e-001
1.000002200211484e-003	1.844915e-001
1.000002272884007e-003	1.845427e-001
1.000002343220751e-003	1.845781e-001
